"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.2065,0.0161,0.131,0.1275
"2","(0.6,1)","2.58","10",0.1498,0.0061,0.0909,0.0789
"3","(0.667,1)","2.45"," 9",0.1378,0.005,0.0864,0.0704
"4","(0.75,1)","2.31"," 8",0.1237,0.0038,0.0793,0.0605
"5","(0.857,1)","2.16"," 7",0.1077,0.0025,0.0743,0.0501
"6","(1,1)","2.00"," 6",0.0919,0.0017,0.0711,0.0417
"7","(1.2,1)","1.83"," 5",0.0741,0.0013,0.0649,0.0335
"8","(1.5,1)","1.63"," 4",0.0586,6e-04,0.059,0.0255
"9","(6,1)","0.82"," 1",0.0206,2e-04,0.03,0.0092
