"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.8)","3.16","15",0.2071,0,0.1279,0.1189
"2","(1.2)","2.58","10",0.1484,0,0.0928,0.0723
"3","(1.333)","2.45"," 9",0.1326,0,0.0877,0.0632
"4","(1.5)","2.31"," 8",0.1202,0,0.0822,0.0536
"5","(1.714)","2.16"," 7",0.105,0,0.0776,0.0448
"6","(2)","2.00"," 6",0.0874,0,0.0709,0.0363
"7","(2.4)","1.83"," 5",0.0738,0,0.0673,0.0296
"8","(3)","1.63"," 4",0.0561,0,0.0586,0.0219
"9","(12)","0.82"," 1",0.023,0,0.0303,0.0087
