"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.8)","3.16","15",0.2076,0.0149,0.1292,0.1258
"2","(1.2)","2.58","10",0.152,0.006,0.0925,0.0804
"3","(1.333)","2.45"," 9",0.1374,0.0045,0.085,0.0696
"4","(1.5)","2.31"," 8",0.1237,0.0035,0.0798,0.0602
"5","(1.714)","2.16"," 7",0.1069,0.0027,0.0742,0.0504
"6","(2)","2.00"," 6",0.0909,0.002,0.0711,0.0421
"7","(2.4)","1.83"," 5",0.0742,0.0012,0.0659,0.034
"8","(3)","1.63"," 4",0.0585,0.001,0.0603,0.0256
"9","(12)","0.82"," 1",0.0206,1e-04,0.0304,0.0096
