"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.0793,0.001,0.0892,0.0446
"2","(7.53,1)","2.08","10",0.0634,7e-04,0.0741,0.0346
"3","(7.88,1)","1.99"," 9",0.059,6e-04,0.0708,0.0322
"4","(8.314,1)","1.89"," 8",0.0573,8e-04,0.0693,0.0312
"5","(8.87,1)","1.79"," 7",0.0518,6e-04,0.0645,0.0275
"6","(9.606,1)","1.67"," 6",0.0469,5e-04,0.0589,0.0241
"7","(10.629,1)","1.54"," 5",0.0422,4e-04,0.0541,0.0216
"8","(12.155,1)","1.39"," 4",0.0361,3e-04,0.0482,0.0181
"9","(34.756,1)","0.72"," 1",0.0198,3e-04,0.0318,0.0101
