"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.1216,0.1827,0.1416,0.1326
"2","(0,0.595)","2.23","10",0.0927,0.1493,0.1056,0.0914
"3","(0,0.576)","2.13"," 9",0.0844,0.1411,0.0963,0.0802
"4","(0,0.554)","2.01"," 8",0.0782,0.1325,0.0886,0.0715
"5","(0,0.53)","1.89"," 7",0.0703,0.1214,0.0812,0.0623
"6","(0,0.503)","1.76"," 6",0.0626,0.1135,0.0744,0.0532
"7","(0,0.471)","1.62"," 5",0.0531,0.1,0.0646,0.0429
"8","(0,0.433)","1.46"," 4",0.0433,0.0854,0.0569,0.034
"9","(0,0.24)","0.74"," 1",0.0157,0.039,0.0277,0.0111
