"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.161,0.1883,0.1349,0.1333
"2","(0.859,1)","2.52","10",0.1256,0.1464,0.0934,0.089
"3","(0.886,1)","2.40"," 9",0.1172,0.1379,0.0846,0.0792
"4","(0.917,1)","2.28"," 8",0.1061,0.1252,0.0754,0.0684
"5","(0.955,1)","2.14"," 7",0.0977,0.1143,0.0678,0.059
"6","(1,1)","2.00"," 6",0.0851,0.1015,0.0588,0.0481
"7","(1.056,1)","1.84"," 5",0.0747,0.09,0.0528,0.0382
"8","(1.128,1)","1.67"," 4",0.0611,0.075,0.0481,0.0296
"9","(1.615,1)","0.95"," 1",0.02,0.0279,0.0299,0.0078
