"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,1)","0","0",0.0084,0.0228,0.0282,0.0057
"2","(0,10)","0","0",0.0085,0.0239,0.0238,0.0059
"3","(0,100)","0","0",0.0086,0.0236,0.0189,0.0056
"4","(10,1)","0","0",0.0082,0.0228,0.0283,0.0056
"5","(10,10)","0","0",0.0082,0.023,0.0231,0.0057
"6","(10,100)","0","0",0.0086,0.0235,0.0188,0.006
"7","(100,1)","0","0",0.0086,0.0239,0.0294,0.0056
"8","(100,10)","0","0",0.0079,0.0228,0.0233,0.0053
"9","(100,100)","0","0",0.0079,0.0227,0.018,0.005
