"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.0409,3e-04,0.0898,0.0216
"2","(4.6)","0","10",0.0365,4e-04,0.0836,0.0192
"3","(4.667)","0"," 9",0.0367,3e-04,0.083,0.0192
"4","(4.75)","0"," 8",0.036,4e-04,0.0812,0.0187
"5","(4.857)","0"," 7",0.0362,3e-04,0.0804,0.0185
"6","(5)","0"," 6",0.0338,2e-04,0.0768,0.0169
"7","(5.2)","0"," 5",0.0325,2e-04,0.0746,0.0171
"8","(5.5)","0"," 4",0.0305,3e-04,0.0693,0.0152
"9","(10)","0"," 1",0.021,2e-04,0.0491,0.0098
