"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.1742,0.0896,0.1269,0.1198
"2","(0.859,1)","2.52","10",0.1344,0.0606,0.0949,0.0807
"3","(0.886,1)","2.40"," 9",0.1213,0.0522,0.0854,0.0704
"4","(0.917,1)","2.28"," 8",0.1124,0.0467,0.0792,0.0621
"5","(0.955,1)","2.14"," 7",0.1016,0.0399,0.0735,0.0528
"6","(1,1)","2.00"," 6",0.0895,0.0336,0.067,0.0451
"7","(1.056,1)","1.84"," 5",0.0779,0.0276,0.0619,0.0372
"8","(1.128,1)","1.67"," 4",0.0631,0.0202,0.0549,0.0283
"9","(1.615,1)","0.95"," 1",0.0219,0.0052,0.031,0.0087
