"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.1935,0.1137,0.1318,0.1304
"2","(0.6,1)","2.58","10",0.1433,0.068,0.0905,0.0836
"3","(0.667,1)","2.45"," 9",0.133,0.0604,0.0844,0.0751
"4","(0.75,1)","2.31"," 8",0.1177,0.0502,0.0772,0.0644
"5","(0.857,1)","2.16"," 7",0.104,0.0415,0.0706,0.0542
"6","(1,1)","2.00"," 6",0.089,0.0328,0.067,0.0449
"7","(1.2,1)","1.83"," 5",0.0757,0.0261,0.0645,0.0368
"8","(1.5,1)","1.63"," 4",0.0597,0.0189,0.0588,0.0279
"9","(6,1)","0.82"," 1",0.0185,0.0044,0.0296,0.0096
