"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.8)","3.16","15",0.1724,0.203,0.1335,0.1334
"2","(1.2)","2.58","10",0.1318,0.1537,0.0898,0.0883
"3","(1.333)","2.45"," 9",0.1222,0.1423,0.0821,0.0792
"4","(1.5)","2.31"," 8",0.1108,0.1301,0.0737,0.0694
"5","(1.714)","2.16"," 7",0.0992,0.1164,0.0655,0.0584
"6","(2)","2.00"," 6",0.0865,0.1021,0.06,0.0487
"7","(2.4)","1.83"," 5",0.0731,0.0887,0.0563,0.0392
"8","(3)","1.63"," 4",0.0579,0.0715,0.052,0.0309
"9","(12)","0.82"," 1",0.0176,0.0252,0.0291,0.0097
