"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.0972,0.1598,0.115,0.1003
"2","(7.53,1)","2.08","10",0.0775,0.1341,0.0921,0.0742
"3","(7.88,1)","1.99"," 9",0.0707,0.1263,0.0853,0.067
"4","(8.314,1)","1.89"," 8",0.0665,0.118,0.0799,0.0606
"5","(8.87,1)","1.79"," 7",0.0605,0.1115,0.0737,0.0541
"6","(9.606,1)","1.67"," 6",0.0542,0.1031,0.0684,0.0476
"7","(10.629,1)","1.54"," 5",0.0465,0.0912,0.0592,0.0386
"8","(12.155,1)","1.39"," 4",0.0392,0.0796,0.0523,0.0321
"9","(34.756,1)","0.72"," 1",0.0153,0.038,0.0264,0.011
