"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.0408,0.0592,0.1006,0.0311
"2","(4.6)","0","10",0.0376,0.0543,0.0947,0.0283
"3","(4.667)","0"," 9",0.0375,0.054,0.0935,0.0283
"4","(4.75)","0"," 8",0.0368,0.0529,0.0911,0.0274
"5","(4.857)","0"," 7",0.0339,0.0503,0.0882,0.0255
"6","(5)","0"," 6",0.0338,0.0483,0.0846,0.0244
"7","(5.2)","0"," 5",0.032,0.0461,0.0815,0.0232
"8","(5.5)","0"," 4",0.0298,0.0431,0.0758,0.0212
"9","(10)","0"," 1",0.0169,0.0253,0.0477,0.0114
