"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.1576,0.2175,0.1339,0.1339
"2","(0.6,1)","2.58","10",0.1222,0.1752,0.0885,0.0882
"3","(0.667,1)","2.45"," 9",0.1116,0.1629,0.0802,0.0796
"4","(0.75,1)","2.31"," 8",0.1039,0.1543,0.0714,0.0699
"5","(0.857,1)","2.16"," 7",0.0933,0.1405,0.063,0.06
"6","(1,1)","2.00"," 6",0.0804,0.1254,0.0547,0.049
"7","(1.2,1)","1.83"," 5",0.0695,0.1145,0.0495,0.0398
"8","(1.5,1)","1.63"," 4",0.0563,0.097,0.0466,0.0309
"9","(6,1)","0.82"," 1",0.016,0.0408,0.0288,0.0091
