"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.1199,0.1461,0.128,0.1091
"2","(0,0.595)","2.23","10",0.0904,0.1124,0.0979,0.0739
"3","(0,0.576)","2.13"," 9",0.0851,0.1066,0.0929,0.0676
"4","(0,0.554)","2.01"," 8",0.0755,0.0968,0.0854,0.0586
"5","(0,0.53)","1.89"," 7",0.0694,0.0895,0.0804,0.0524
"6","(0,0.503)","1.76"," 6",0.0617,0.0807,0.0738,0.0459
"7","(0,0.471)","1.62"," 5",0.052,0.0692,0.0632,0.0366
"8","(0,0.433)","1.46"," 4",0.0426,0.0577,0.0568,0.0294
"9","(0,0.24)","0.74"," 1",0.016,0.0238,0.0276,0.0102
