"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.1731,0,0.1165,0.0924
"2","(0.859,1)","2.52","10",0.1304,0,0.092,0.0616
"3","(0.886,1)","2.40"," 9",0.1211,0,0.0871,0.0555
"4","(0.917,1)","2.28"," 8",0.1123,0,0.0833,0.0492
"5","(0.955,1)","2.14"," 7",0.1011,0,0.0788,0.0437
"6","(1,1)","2.00"," 6",0.0875,0,0.0717,0.0365
"7","(1.056,1)","1.84"," 5",0.0756,0,0.0658,0.03
"8","(1.128,1)","1.67"," 4",0.0643,0,0.0591,0.024
"9","(1.615,1)","0.95"," 1",0.0251,0,0.0322,0.0088
