"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.0841,0.0287,0.0952,0.0561
"2","(7.53,1)","2.08","10",0.0673,0.0218,0.0796,0.0434
"3","(7.88,1)","1.99"," 9",0.0628,0.02,0.0756,0.0398
"4","(8.314,1)","1.89"," 8",0.059,0.0183,0.0713,0.0371
"5","(8.87,1)","1.79"," 7",0.0531,0.0157,0.0668,0.0327
"6","(9.606,1)","1.67"," 6",0.0489,0.0149,0.063,0.03
"7","(10.629,1)","1.54"," 5",0.0424,0.0121,0.0552,0.0252
"8","(12.155,1)","1.39"," 4",0.0374,0.0098,0.0498,0.0215
"9","(34.756,1)","0.72"," 1",0.0184,0.0044,0.0289,0.01
