"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.1713,0.2019,0.1328,0.1326
"2","(0.6,1)","2.58","10",0.1313,0.153,0.0896,0.0881
"3","(0.667,1)","2.45"," 9",0.1221,0.1425,0.0816,0.0788
"4","(0.75,1)","2.31"," 8",0.1097,0.1287,0.0725,0.068
"5","(0.857,1)","2.16"," 7",0.0981,0.1161,0.0655,0.059
"6","(1,1)","2.00"," 6",0.087,0.104,0.0611,0.05
"7","(1.2,1)","1.83"," 5",0.0725,0.0879,0.0554,0.0392
"8","(1.5,1)","1.63"," 4",0.0581,0.0725,0.0524,0.0302
"9","(6,1)","0.82"," 1",0.0168,0.0248,0.0288,0.0093
