"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.0396,0.0116,0.0919,0.024
"2","(4.6)","0","10",0.0377,0.0106,0.088,0.0228
"3","(4.667)","0"," 9",0.0357,0.0103,0.0849,0.0221
"4","(4.75)","0"," 8",0.036,0.0105,0.084,0.0216
"5","(4.857)","0"," 7",0.0364,0.0101,0.0838,0.0214
"6","(5)","0"," 6",0.0331,0.009,0.0791,0.0196
"7","(5.2)","0"," 5",0.0319,0.009,0.0769,0.0189
"8","(5.5)","0"," 4",0.0303,0.0087,0.0729,0.0176
"9","(10)","0"," 1",0.0187,0.0045,0.0475,0.0102
