"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.0722,0,0.0814,0.0311
"2","(7.53,1)","2.08","10",0.0594,0,0.068,0.025
"3","(7.88,1)","1.99"," 9",0.0573,0,0.0662,0.0239
"4","(8.314,1)","1.89"," 8",0.0526,0,0.0619,0.0213
"5","(8.87,1)","1.79"," 7",0.0492,0,0.0584,0.0201
"6","(9.606,1)","1.67"," 6",0.0453,0,0.0551,0.0183
"7","(10.629,1)","1.54"," 5",0.0423,0,0.052,0.0169
"8","(12.155,1)","1.39"," 4",0.0371,0,0.0466,0.0141
"9","(34.756,1)","0.72"," 1",0.0225,0,0.0391,0.009
