"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,1)","0","0",0.0145,1e-04,0.0347,0.0062
"2","(0,10)","0","0",0.0149,1e-04,0.0358,0.0066
"3","(0,100)","0","0",0.0137,1e-04,0.0269,0.0063
"4","(10,1)","0","0",0.0141,1e-04,0.0356,0.0066
"5","(10,10)","0","0",0.0149,1e-04,0.0367,0.0065
"6","(10,100)","0","0",0.0135,1e-04,0.0278,0.0061
"7","(100,1)","0","0",0.0143,1e-04,0.0359,0.0069
"8","(100,10)","0","0",0.0139,1e-04,0.035,0.0062
"9","(100,100)","0","0",0.014,0,0.0269,0.0058
