"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.2074,0,0.127,0.1184
"2","(0.6,1)","2.58","10",0.1472,0,0.0929,0.073
"3","(0.667,1)","2.45"," 9",0.133,0,0.0856,0.0617
"4","(0.75,1)","2.31"," 8",0.1194,0,0.082,0.0536
"5","(0.857,1)","2.16"," 7",0.1031,0,0.0758,0.0443
"6","(1,1)","2.00"," 6",0.0894,0,0.0723,0.0372
"7","(1.2,1)","1.83"," 5",0.0735,0,0.0678,0.029
"8","(1.5,1)","1.63"," 4",0.0571,0,0.0602,0.0223
"9","(6,1)","0.82"," 1",0.0237,0,0.0308,0.0087
