"","df","0.5","1","1.5","2","2.5","3","3.5","4","4.5","5"
"1",1,0,0.0352,0.9034,0.9824,0.9962,0.999,0.9999,0.9998,1,1
"2",2,0,0.0364,0.9481,0.9961,0.9993,1,1,1,1,1
"3",3,0,0.0359,0.9631,0.9985,0.9996,1,1,1,1,1
"4",4,0,0.0379,0.9733,0.9993,1,1,1,1,1,1
"5",5,0,0.0399,0.9819,0.9995,1,1,1,1,1,1
"6",10,0,0.0349,0.9919,1,1,1,1,1,1,1
