"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.3518,0,0.3177,0.218
"2","(7.53,1)","2.08","10",0.3165,0,0.2936,0.1876
"3","(7.88,1)","1.99"," 9",0.3101,0,0.2885,0.1806
"4","(8.314,1)","1.89"," 8",0.3035,0,0.2851,0.175
"5","(8.87,1)","1.79"," 7",0.292,0,0.2772,0.1639
"6","(9.606,1)","1.67"," 6",0.28,0,0.2711,0.155
"7","(10.629,1)","1.54"," 5",0.2692,0,0.2634,0.1443
"8","(12.155,1)","1.39"," 4",0.2553,0,0.255,0.136
"9","(34.756,1)","0.72"," 1",0.1914,0,0.2139,0.0914
