"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.4849,0.3032,0.5078,0.4818
"2","(7.53,1)","2.08","10",0.4629,0.273,0.4765,0.4398
"3","(7.88,1)","1.99"," 9",0.4566,0.2656,0.4708,0.4301
"4","(8.314,1)","1.89"," 8",0.4488,0.2582,0.4631,0.4202
"5","(8.87,1)","1.79"," 7",0.4464,0.251,0.4576,0.4097
"6","(9.606,1)","1.67"," 6",0.4332,0.2371,0.443,0.39
"7","(10.629,1)","1.54"," 5",0.425,0.2254,0.4346,0.374
"8","(12.155,1)","1.39"," 4",0.4095,0.2087,0.4208,0.3511
"9","(34.756,1)","0.72"," 1",0.3435,0.1482,0.3811,0.2619
