"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.5173,0.5937,0.5181,0.5181
"2","(0.6,1)","2.58","10",0.5114,0.5836,0.5024,0.5018
"3","(0.667,1)","2.45"," 9",0.5126,0.5841,0.5006,0.4997
"4","(0.75,1)","2.31"," 8",0.5118,0.5834,0.4975,0.4958
"5","(0.857,1)","2.16"," 7",0.515,0.5846,0.4956,0.4926
"6","(1,1)","2.00"," 6",0.5182,0.5849,0.4967,0.4911
"7","(1.2,1)","1.83"," 5",0.5181,0.588,0.4976,0.488
"8","(1.5,1)","1.63"," 4",0.5222,0.5911,0.5047,0.4856
"9","(6,1)","0.82"," 1",0.5271,0.6139,0.5613,0.4623
