"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.617,0.7284,0.8134,0.8132
"2","(0,0.595)","2.23","10",0.6195,0.7321,0.7963,0.7956
"3","(0,0.576)","2.13"," 9",0.6175,0.7335,0.7897,0.7887
"4","(0,0.554)","2.01"," 8",0.6216,0.7378,0.7849,0.7835
"5","(0,0.53)","1.89"," 7",0.6226,0.7408,0.7791,0.7773
"6","(0,0.503)","1.76"," 6",0.624,0.7452,0.7709,0.7685
"7","(0,0.471)","1.62"," 5",0.6287,0.7519,0.7646,0.7605
"8","(0,0.433)","1.46"," 4",0.6305,0.7575,0.7549,0.7488
"9","(0,0.24)","0.74"," 1",0.6661,0.8181,0.7339,0.6952
