"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.8)","3.16","15",0.4647,0.0563,0.3565,0.354
"2","(1.2)","2.58","10",0.4361,0.0321,0.3188,0.3085
"3","(1.333)","2.45"," 9",0.4321,0.0289,0.3127,0.2993
"4","(1.5)","2.31"," 8",0.4164,0.0255,0.306,0.2861
"5","(1.714)","2.16"," 7",0.409,0.0223,0.3006,0.2737
"6","(2)","2.00"," 6",0.3963,0.019,0.2977,0.2605
"7","(2.4)","1.83"," 5",0.3817,0.0159,0.2953,0.2444
"8","(3)","1.63"," 4",0.3599,0.0131,0.2962,0.2263
"9","(12)","0.82"," 1",0.2723,0.005,0.3014,0.1638
