"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.5442,0.6658,0.6019,0.6019
"2","(0.6,1)","2.58","10",0.5574,0.6797,0.6061,0.6061
"3","(0.667,1)","2.45"," 9",0.5657,0.6879,0.6105,0.6103
"4","(0.75,1)","2.31"," 8",0.5696,0.6919,0.6116,0.6114
"5","(0.857,1)","2.16"," 7",0.5791,0.7001,0.6153,0.6148
"6","(1,1)","2.00"," 6",0.5815,0.706,0.6184,0.6171
"7","(1.2,1)","1.83"," 5",0.5932,0.7179,0.6252,0.6223
"8","(1.5,1)","1.63"," 4",0.6043,0.7316,0.6333,0.6271
"9","(6,1)","0.82"," 1",0.665,0.8123,0.7105,0.6532
