"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.4697,0.0413,0.3815,0.3728
"2","(0.859,1)","2.52","10",0.436,0.0292,0.3376,0.32
"3","(0.886,1)","2.40"," 9",0.4296,0.0265,0.3305,0.3096
"4","(0.917,1)","2.28"," 8",0.4188,0.0238,0.3197,0.2948
"5","(0.955,1)","2.14"," 7",0.4051,0.0215,0.3067,0.2759
"6","(1,1)","2.00"," 6",0.3959,0.0186,0.2979,0.2596
"7","(1.056,1)","1.84"," 5",0.3835,0.0156,0.2885,0.2418
"8","(1.128,1)","1.67"," 4",0.3629,0.0134,0.2773,0.2187
"9","(1.615,1)","0.95"," 1",0.2789,0.0048,0.2722,0.1414
