"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.5701,0.6857,0.6955,0.6955
"2","(0.859,1)","2.52","10",0.5738,0.6922,0.6598,0.6595
"3","(0.886,1)","2.40"," 9",0.574,0.6937,0.6521,0.6519
"4","(0.917,1)","2.28"," 8",0.5749,0.6975,0.6438,0.6433
"5","(0.955,1)","2.14"," 7",0.5788,0.7005,0.6307,0.63
"6","(1,1)","2.00"," 6",0.5817,0.7045,0.6186,0.6176
"7","(1.056,1)","1.84"," 5",0.5881,0.7135,0.6066,0.6044
"8","(1.128,1)","1.67"," 4",0.5951,0.7246,0.5909,0.586
"9","(1.615,1)","0.95"," 1",0.6578,0.8025,0.5843,0.5164
