"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.5655,0.6354,0.6981,0.6961
"2","(0,0.595)","2.23","10",0.5579,0.6283,0.6679,0.6632
"3","(0,0.576)","2.13"," 9",0.5565,0.6269,0.6594,0.6531
"4","(0,0.554)","2.01"," 8",0.5508,0.6216,0.6476,0.6403
"5","(0,0.53)","1.89"," 7",0.5477,0.6193,0.6369,0.627
"6","(0,0.503)","1.76"," 6",0.5477,0.6198,0.6294,0.6173
"7","(0,0.471)","1.62"," 5",0.5463,0.621,0.6214,0.6041
"8","(0,0.433)","1.46"," 4",0.5436,0.6188,0.6073,0.5847
"9","(0,0.24)","0.74"," 1",0.5258,0.6185,0.5748,0.495
