"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.6492,0.7862,0.8449,0.7042
"2","(4.6)","0","10",0.6482,0.7892,0.8467,0.6999
"3","(4.667)","0"," 9",0.6506,0.7887,0.846,0.6994
"4","(4.75)","0"," 8",0.6474,0.7907,0.848,0.6959
"5","(4.857)","0"," 7",0.6465,0.791,0.8482,0.6952
"6","(5)","0"," 6",0.6466,0.7907,0.848,0.6906
"7","(5.2)","0"," 5",0.6491,0.7952,0.8514,0.6924
"8","(5.5)","0"," 4",0.6472,0.7964,0.8547,0.6864
"9","(10)","0"," 1",0.6599,0.8234,0.8747,0.6669
