"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.5314,0.6043,0.589,0.5887
"2","(0.859,1)","2.52","10",0.5218,0.5934,0.5447,0.5434
"3","(0.886,1)","2.40"," 9",0.5234,0.5932,0.5355,0.534
"4","(0.917,1)","2.28"," 8",0.52,0.5904,0.5258,0.5234
"5","(0.955,1)","2.14"," 7",0.5152,0.5854,0.5113,0.5079
"6","(1,1)","2.00"," 6",0.5194,0.5874,0.4972,0.492
"7","(1.056,1)","1.84"," 5",0.5155,0.583,0.4796,0.4709
"8","(1.128,1)","1.67"," 4",0.5166,0.5849,0.466,0.4509
"9","(1.615,1)","0.95"," 1",0.5189,0.5964,0.4645,0.3627
