"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.3443,0.0102,0.5525,0.254
"2","(4.6)","0","10",0.3348,0.0095,0.5427,0.2454
"3","(4.667)","0"," 9",0.333,0.0094,0.5412,0.2442
"4","(4.75)","0"," 8",0.3321,0.0091,0.5405,0.2404
"5","(4.857)","0"," 7",0.3273,0.0091,0.5372,0.2357
"6","(5)","0"," 6",0.3212,0.0085,0.5289,0.2302
"7","(5.2)","0"," 5",0.3154,0.008,0.5245,0.2246
"8","(5.5)","0"," 4",0.3082,0.0078,0.519,0.2169
"9","(10)","0"," 1",0.2665,0.0048,0.4707,0.1728
