"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,1)","0","0",0.6923,0.8702,0.9016,0.6603
"2","(0,10)","0","0",0.6932,0.8725,0.8237,0.6577
"3","(0,100)","0","0",0.6894,0.8711,0.8039,0.6425
"4","(10,1)","0","0",0.6933,0.8713,0.9025,0.6596
"5","(10,10)","0","0",0.6908,0.871,0.8232,0.6592
"6","(10,100)","0","0",0.6937,0.8722,0.8052,0.6476
"7","(100,1)","0","0",0.6935,0.8719,0.9031,0.6594
"8","(100,10)","0","0",0.6919,0.8707,0.8247,0.6581
"9","(100,100)","0","0",0.6954,0.8734,0.8031,0.6491
