"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.4299,0.0199,0.413,0.3588
"2","(7.53,1)","2.08","10",0.4035,0.0159,0.3873,0.3207
"3","(7.88,1)","1.99"," 9",0.3975,0.0154,0.3844,0.3131
"4","(8.314,1)","1.89"," 8",0.3873,0.0143,0.375,0.3013
"5","(8.87,1)","1.79"," 7",0.3791,0.013,0.3702,0.291
"6","(9.606,1)","1.67"," 6",0.3692,0.0112,0.3602,0.2761
"7","(10.629,1)","1.54"," 5",0.3556,0.01,0.3512,0.2616
"8","(12.155,1)","1.39"," 4",0.338,0.0091,0.3398,0.2414
"9","(34.756,1)","0.72"," 1",0.2704,0.0049,0.3022,0.174
