"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.5741,0.6452,0.6949,0.6916
"2","(7.53,1)","2.08","10",0.5687,0.64,0.6717,0.6657
"3","(7.88,1)","1.99"," 9",0.5643,0.6361,0.6614,0.6547
"4","(8.314,1)","1.89"," 8",0.5632,0.6376,0.6559,0.6478
"5","(8.87,1)","1.79"," 7",0.5607,0.6352,0.6494,0.6396
"6","(9.606,1)","1.67"," 6",0.5591,0.6349,0.6382,0.6254
"7","(10.629,1)","1.54"," 5",0.5529,0.6288,0.6261,0.6094
"8","(12.155,1)","1.39"," 4",0.5461,0.6244,0.6108,0.5908
"9","(34.756,1)","0.72"," 1",0.5281,0.6243,0.5739,0.5018
