"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,1)","0","0",0.3013,0.1171,0.5394,0.2154
"2","(0,10)","0","0",0.3028,0.1178,0.5319,0.2167
"3","(0,100)","0","0",0.301,0.1159,0.4055,0.2128
"4","(10,1)","0","0",0.3008,0.1149,0.5423,0.2151
"5","(10,10)","0","0",0.3004,0.1161,0.5293,0.2157
"6","(10,100)","0","0",0.3018,0.116,0.4078,0.214
"7","(100,1)","0","0",0.3026,0.116,0.5399,0.2153
"8","(100,10)","0","0",0.3014,0.1173,0.5322,0.2165
"9","(100,100)","0","0",0.3007,0.1163,0.4133,0.2145
