"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.3637,0.2454,0.2852,0.2841
"2","(0.6,1)","2.58","10",0.3244,0.1878,0.2387,0.232
"3","(0.667,1)","2.45"," 9",0.3105,0.1749,0.2301,0.2211
"4","(0.75,1)","2.31"," 8",0.3005,0.1625,0.2225,0.2093
"5","(0.857,1)","2.16"," 7",0.2882,0.1478,0.2134,0.194
"6","(1,1)","2.00"," 6",0.2726,0.1328,0.2054,0.1787
"7","(1.2,1)","1.83"," 5",0.2579,0.1206,0.2036,0.1633
"8","(1.5,1)","1.63"," 4",0.2378,0.1036,0.2036,0.1475
"9","(6,1)","0.82"," 1",0.149,0.0487,0.1862,0.0892
