"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.3826,0.442,0.4562,0.4483
"2","(0,0.595)","2.23","10",0.3581,0.4148,0.406,0.3901
"3","(0,0.576)","2.13"," 9",0.3496,0.4077,0.3952,0.3768
"4","(0,0.554)","2.01"," 8",0.3372,0.3959,0.3788,0.3567
"5","(0,0.53)","1.89"," 7",0.3305,0.389,0.3678,0.3423
"6","(0,0.503)","1.76"," 6",0.3226,0.382,0.355,0.3222
"7","(0,0.471)","1.62"," 5",0.3109,0.3715,0.3387,0.3003
"8","(0,0.433)","1.46"," 4",0.296,0.3569,0.3254,0.2785
"9","(0,0.24)","0.74"," 1",0.219,0.2854,0.268,0.1757
