"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.2172,0.0957,0.3917,0.1665
"2","(4.6)","0","10",0.2104,0.0897,0.3826,0.16
"3","(4.667)","0"," 9",0.2072,0.0868,0.38,0.1546
"4","(4.75)","0"," 8",0.2028,0.0842,0.3758,0.152
"5","(4.857)","0"," 7",0.2021,0.0825,0.371,0.1495
"6","(5)","0"," 6",0.1968,0.0816,0.3644,0.1466
"7","(5.2)","0"," 5",0.1901,0.0767,0.3579,0.1395
"8","(5.5)","0"," 4",0.1828,0.0726,0.3469,0.1331
"9","(10)","0"," 1",0.1418,0.0482,0.2898,0.095
