"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.2165,0,0.2084,0.1145
"2","(7.53,1)","2.08","10",0.1872,0,0.1862,0.0954
"3","(7.88,1)","1.99"," 9",0.1831,0,0.1849,0.0925
"4","(8.314,1)","1.89"," 8",0.175,0,0.1785,0.0866
"5","(8.87,1)","1.79"," 7",0.1666,0,0.1723,0.0818
"6","(9.606,1)","1.67"," 6",0.1588,0,0.1662,0.0764
"7","(10.629,1)","1.54"," 5",0.1474,0,0.1577,0.0696
"8","(12.155,1)","1.39"," 4",0.1387,0,0.1508,0.0645
"9","(34.756,1)","0.72"," 1",0.095,0,0.1134,0.0404
