"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.764,1)","3.03","15",0.3149,0,0.2228,0.196
"2","(0.859,1)","2.52","10",0.2692,0,0.1888,0.1498
"3","(0.886,1)","2.40"," 9",0.2553,0,0.1784,0.1374
"4","(0.917,1)","2.28"," 8",0.2437,0,0.1714,0.1271
"5","(0.955,1)","2.14"," 7",0.2314,0,0.1657,0.1159
"6","(1,1)","2.00"," 6",0.2137,0,0.1579,0.1035
"7","(1.056,1)","1.84"," 5",0.2002,0,0.1541,0.0933
"8","(1.128,1)","1.67"," 4",0.1793,0,0.1469,0.0801
"9","(1.615,1)","0.95"," 1",0.1014,0,0.1128,0.0391
