"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.2948,0.3786,0.5086,0.2777
"2","(4.6)","0","10",0.2856,0.3704,0.5017,0.2681
"3","(4.667)","0"," 9",0.2835,0.3666,0.4973,0.2635
"4","(4.75)","0"," 8",0.2825,0.3637,0.494,0.2627
"5","(4.857)","0"," 7",0.2777,0.3603,0.4909,0.2566
"6","(5)","0"," 6",0.2725,0.3536,0.4843,0.249
"7","(5.2)","0"," 5",0.2675,0.3462,0.4743,0.243
"8","(5.5)","0"," 4",0.26,0.3403,0.4703,0.2344
"9","(10)","0"," 1",0.2114,0.2835,0.4118,0.1781
