"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.3711,0.4328,0.4339,0.4211
"2","(7.53,1)","2.08","10",0.3461,0.4067,0.3916,0.371
"3","(7.88,1)","1.99"," 9",0.3428,0.4041,0.3853,0.3634
"4","(8.314,1)","1.89"," 8",0.3358,0.3966,0.377,0.3506
"5","(8.87,1)","1.79"," 7",0.3273,0.389,0.3657,0.3351
"6","(9.606,1)","1.67"," 6",0.3142,0.3756,0.3491,0.3166
"7","(10.629,1)","1.54"," 5",0.304,0.3679,0.3368,0.2973
"8","(12.155,1)","1.39"," 4",0.2927,0.3555,0.3232,0.2757
"9","(34.756,1)","0.72"," 1",0.2182,0.2851,0.2654,0.179
