"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.1812,0.0034,0.3337,0.116
"2","(4.6)","0","10",0.1738,0.003,0.3239,0.1112
"3","(4.667)","0"," 9",0.1707,0.0028,0.319,0.1086
"4","(4.75)","0"," 8",0.17,0.0027,0.3176,0.1076
"5","(4.857)","0"," 7",0.165,0.0028,0.311,0.1043
"6","(5)","0"," 6",0.1628,0.0026,0.308,0.1022
"7","(5.2)","0"," 5",0.1561,0.0023,0.3007,0.0959
"8","(5.5)","0"," 4",0.1519,0.0022,0.2914,0.0929
"9","(10)","0"," 1",0.1184,0.0015,0.2386,0.0663
