"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.3597,0.0356,0.2556,0.2525
"2","(0.6,1)","2.58","10",0.3125,0.0183,0.2113,0.1984
"3","(0.667,1)","2.45"," 9",0.2997,0.015,0.202,0.185
"4","(0.75,1)","2.31"," 8",0.2871,0.0131,0.1944,0.1721
"5","(0.857,1)","2.16"," 7",0.27,0.0105,0.1893,0.1594
"6","(1,1)","2.00"," 6",0.253,0.0089,0.1843,0.1441
"7","(1.2,1)","1.83"," 5",0.2329,0.0066,0.1831,0.1304
"8","(1.5,1)","1.63"," 4",0.2132,0.0049,0.1823,0.114
"9","(6,1)","0.82"," 1",0.1214,0.0013,0.1511,0.0648
