"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.8)","3.16","15",0.3845,0.4926,0.3939,0.3939
"2","(1.2)","2.58","10",0.3698,0.4793,0.3641,0.364
"3","(1.333)","2.45"," 9",0.3676,0.4759,0.3565,0.3562
"4","(1.5)","2.31"," 8",0.3643,0.4725,0.3483,0.3476
"5","(1.714)","2.16"," 7",0.3615,0.4747,0.3378,0.336
"6","(2)","2.00"," 6",0.3566,0.4715,0.3285,0.3252
"7","(2.4)","1.83"," 5",0.3511,0.4694,0.3245,0.3167
"8","(3)","1.63"," 4",0.3468,0.4707,0.32,0.3038
"9","(12)","0.82"," 1",0.2982,0.4624,0.342,0.243
