"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.2537,0,0.2254,0.1462
"2","(0,0.595)","2.23","10",0.2148,0,0.2002,0.1136
"3","(0,0.576)","2.13"," 9",0.206,0,0.1959,0.1089
"4","(0,0.554)","2.01"," 8",0.1944,0,0.1877,0.1001
"5","(0,0.53)","1.89"," 7",0.1837,0,0.1802,0.0921
"6","(0,0.503)","1.76"," 6",0.1708,0,0.1721,0.0829
"7","(0,0.471)","1.62"," 5",0.1604,0,0.1662,0.0773
"8","(0,0.433)","1.46"," 4",0.1444,0,0.1531,0.0675
"9","(0,0.24)","0.74"," 1",0.0944,0,0.112,0.0401
