"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.3626,0.5248,0.5967,0.3758
"2","(4.6)","0","10",0.3528,0.513,0.5851,0.3617
"3","(4.667)","0"," 9",0.3514,0.5149,0.5871,0.3612
"4","(4.75)","0"," 8",0.3529,0.5152,0.5867,0.3593
"5","(4.857)","0"," 7",0.3483,0.5102,0.5806,0.3522
"6","(5)","0"," 6",0.34,0.5047,0.5743,0.344
"7","(5.2)","0"," 5",0.3369,0.5025,0.572,0.3364
"8","(5.5)","0"," 4",0.3298,0.4969,0.5658,0.3286
"9","(10)","0"," 1",0.2843,0.4636,0.5228,0.2618
