"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.3318,0.1823,0.3304,0.298
"2","(0,0.595)","2.23","10",0.2976,0.15,0.2947,0.2496
"3","(0,0.576)","2.13"," 9",0.2895,0.1421,0.2857,0.2364
"4","(0,0.554)","2.01"," 8",0.2758,0.1309,0.2767,0.2216
"5","(0,0.53)","1.89"," 7",0.2627,0.1215,0.2661,0.2072
"6","(0,0.503)","1.76"," 6",0.2503,0.1129,0.2556,0.192
"7","(0,0.471)","1.62"," 5",0.237,0.1005,0.246,0.1745
"8","(0,0.433)","1.46"," 4",0.22,0.0909,0.2345,0.1587
"9","(0,0.24)","0.74"," 1",0.1456,0.0473,0.1824,0.0939
