"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.5518,0.0367,0.5396,0.502
"2","(7.53,1)","2.08","10",0.5302,0.0307,0.5153,0.4663
"3","(7.88,1)","1.99"," 9",0.5255,0.0293,0.5087,0.4567
"4","(8.314,1)","1.89"," 8",0.5212,0.0278,0.5021,0.4464
"5","(8.87,1)","1.79"," 7",0.5129,0.0245,0.4941,0.4337
"6","(9.606,1)","1.67"," 6",0.5049,0.0234,0.488,0.4206
"7","(10.629,1)","1.54"," 5",0.4931,0.021,0.4791,0.4042
"8","(12.155,1)","1.39"," 4",0.4819,0.0199,0.472,0.3875
"9","(34.756,1)","0.72"," 1",0.4213,0.0106,0.4395,0.2997
