"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.7523,0.8442,0.9255,0.9255
"2","(7.53,1)","2.08","10",0.7624,0.8551,0.9223,0.9222
"3","(7.88,1)","1.99"," 9",0.764,0.8578,0.9208,0.9207
"4","(8.314,1)","1.89"," 8",0.7668,0.8608,0.9202,0.9201
"5","(8.87,1)","1.79"," 7",0.7725,0.8652,0.9203,0.9201
"6","(9.606,1)","1.67"," 6",0.7762,0.8688,0.9174,0.9172
"7","(10.629,1)","1.54"," 5",0.7832,0.8747,0.9154,0.915
"8","(12.155,1)","1.39"," 4",0.7936,0.8865,0.9171,0.9166
"9","(34.756,1)","0.72"," 1",0.858,0.9406,0.9206,0.9144
