"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.8006,0.8946,0.9286,0.8652
"2","(4.6)","0","10",0.8031,0.8977,0.9317,0.8652
"3","(4.667)","0"," 9",0.801,0.8975,0.9313,0.8634
"4","(4.75)","0"," 8",0.8041,0.8993,0.9327,0.8643
"5","(4.857)","0"," 7",0.8077,0.9026,0.9357,0.8669
"6","(5)","0"," 6",0.8074,0.9038,0.9361,0.8662
"7","(5.2)","0"," 5",0.8148,0.9095,0.9409,0.871
"8","(5.5)","0"," 4",0.8154,0.913,0.9444,0.8705
"9","(10)","0"," 1",0.8589,0.9492,0.9713,0.8887
