"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(4.4)","0","15",0.5686,0.3844,0.7861,0.5334
"2","(4.6)","0","10",0.5684,0.3767,0.7842,0.5295
"3","(4.667)","0"," 9",0.5663,0.3741,0.7843,0.5249
"4","(4.75)","0"," 8",0.5644,0.3727,0.7835,0.524
"5","(4.857)","0"," 7",0.5633,0.3675,0.7817,0.5201
"6","(5)","0"," 6",0.5589,0.3618,0.7794,0.5152
"7","(5.2)","0"," 5",0.5553,0.3516,0.7774,0.5064
"8","(5.5)","0"," 4",0.551,0.3434,0.7773,0.4983
"9","(10)","0"," 1",0.5208,0.2845,0.7672,0.4443
