"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(6.462,1)","2.44","15",0.605,0.4323,0.6534,0.6401
"2","(7.53,1)","2.08","10",0.5932,0.4031,0.6302,0.6109
"3","(7.88,1)","1.99"," 9",0.5913,0.398,0.6251,0.6027
"4","(8.314,1)","1.89"," 8",0.587,0.3908,0.6178,0.593
"5","(8.87,1)","1.79"," 7",0.5874,0.386,0.6129,0.5848
"6","(9.606,1)","1.67"," 6",0.5806,0.3763,0.6021,0.5692
"7","(10.629,1)","1.54"," 5",0.5749,0.3652,0.5947,0.5568
"8","(12.155,1)","1.39"," 4",0.5706,0.3505,0.5862,0.5408
"9","(34.756,1)","0.72"," 1",0.5335,0.2828,0.5578,0.4539
