"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.4749,0,0.4133,0.3469
"2","(0,0.595)","2.23","10",0.4456,0,0.388,0.3024
"3","(0,0.576)","2.13"," 9",0.4352,0,0.3814,0.2922
"4","(0,0.554)","2.01"," 8",0.425,0,0.3741,0.2788
"5","(0,0.53)","1.89"," 7",0.4164,0,0.3694,0.2659
"6","(0,0.503)","1.76"," 6",0.4042,0,0.3615,0.2532
"7","(0,0.471)","1.62"," 5",0.39,0,0.355,0.2378
"8","(0,0.433)","1.46"," 4",0.3725,0,0.3476,0.2219
"9","(0,0.24)","0.74"," 1",0.3013,0,0.3126,0.1568
