"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,0.669)","2.68","15",0.5997,0.4414,0.6528,0.6432
"2","(0,0.595)","2.23","10",0.5892,0.4116,0.6256,0.6094
"3","(0,0.576)","2.13"," 9",0.5878,0.4045,0.62,0.601
"4","(0,0.554)","2.01"," 8",0.5846,0.3962,0.6148,0.5925
"5","(0,0.53)","1.89"," 7",0.5804,0.3873,0.6062,0.5798
"6","(0,0.503)","1.76"," 6",0.5745,0.3756,0.5978,0.5683
"7","(0,0.471)","1.62"," 5",0.5728,0.366,0.5914,0.5537
"8","(0,0.433)","1.46"," 4",0.5672,0.3513,0.5801,0.5333
"9","(0,0.24)","0.74"," 1",0.533,0.2812,0.5598,0.4495
