"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.8)","3.16","15",0.6154,0.6993,0.6449,0.6449
"2","(1.2)","2.58","10",0.6312,0.7107,0.6551,0.6548
"3","(1.333)","2.45"," 9",0.631,0.7093,0.6552,0.6549
"4","(1.5)","2.31"," 8",0.6396,0.7169,0.6637,0.663
"5","(1.714)","2.16"," 7",0.6444,0.7203,0.6682,0.6668
"6","(2)","2.00"," 6",0.655,0.729,0.6736,0.671
"7","(2.4)","1.83"," 5",0.664,0.7374,0.6838,0.6787
"8","(3)","1.63"," 4",0.6726,0.7473,0.6939,0.6843
"9","(12)","0.82"," 1",0.7393,0.8176,0.777,0.7228
