"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,1)","0","0",0.3805,0.0078,0.633,0.2552
"2","(0,10)","0","0",0.3794,0.0072,0.6319,0.2548
"3","(0,100)","0","0",0.3819,0.0074,0.4717,0.2556
"4","(10,1)","0","0",0.3787,0.0078,0.6328,0.255
"5","(10,10)","0","0",0.3799,0.0076,0.6316,0.2555
"6","(10,100)","0","0",0.3833,0.0072,0.4715,0.257
"7","(100,1)","0","0",0.381,0.0078,0.6352,0.2555
"8","(100,10)","0","0",0.3791,0.0074,0.6316,0.2554
"9","(100,100)","0","0",0.3823,0.0076,0.4873,0.2556
