"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.4894,0,0.3568,0.3496
"2","(0.6,1)","2.58","10",0.4578,0,0.3216,0.3012
"3","(0.667,1)","2.45"," 9",0.446,0,0.3152,0.2889
"4","(0.75,1)","2.31"," 8",0.4369,0,0.3124,0.278
"5","(0.857,1)","2.16"," 7",0.4277,0,0.3088,0.2644
"6","(1,1)","2.00"," 6",0.4175,0,0.3063,0.2506
"7","(1.2,1)","1.83"," 5",0.4055,0,0.3078,0.2361
"8","(1.5,1)","1.63"," 4",0.3887,0,0.3092,0.2173
"9","(6,1)","0.82"," 1",0.3016,0,0.309,0.1514
