"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0,1)","0","0",0.9216,0.9844,0.991,0.9158
"2","(0,10)","0","0",0.9207,0.9842,0.9651,0.9155
"3","(0,100)","0","0",0.9203,0.9838,0.9616,0.9049
"4","(10,1)","0","0",0.9208,0.9839,0.9905,0.9159
"5","(10,10)","0","0",0.9195,0.9836,0.964,0.9142
"6","(10,100)","0","0",0.9207,0.984,0.9615,0.9059
"7","(100,1)","0","0",0.9204,0.9842,0.9906,0.9158
"8","(100,10)","0","0",0.9186,0.9833,0.965,0.9136
"9","(100,100)","0","0",0.9212,0.9842,0.9626,0.9092
