"","params","skew","ex. kurt","Robust","Z6","R_lh","R_gamma2"
"1","(0.4,1)","3.16","15",0.5721,0.4472,0.512,0.5115
"2","(0.6,1)","2.58","10",0.5614,0.4023,0.4943,0.4915
"3","(0.667,1)","2.45"," 9",0.5586,0.3894,0.4873,0.4833
"4","(0.75,1)","2.31"," 8",0.5572,0.3838,0.4886,0.482
"5","(0.857,1)","2.16"," 7",0.5591,0.3736,0.4889,0.4786
"6","(1,1)","2.00"," 6",0.5532,0.3621,0.4855,0.4703
"7","(1.2,1)","1.83"," 5",0.5542,0.3512,0.4905,0.4659
"8","(1.5,1)","1.63"," 4",0.5509,0.3379,0.4955,0.4587
"9","(6,1)","0.82"," 1",0.5357,0.2805,0.5508,0.424
